Cheilopogon pinnatibarbatus
Cheilopogon spilonotopterus
Cheilopogon unicolor
Chelidonichthys kumu
Chelidonichthys spinosus
Chelidoperca hirundinacea
Chelmon rostratus
Chelon labrosus
Chelonodon patoca
Chelonodon pleurospilus
Chiasmodon harteli
Chiasmodon niger
Chilomycterus reticulatus
Chiloscyllium griseum
Chiloscyllium plagiosum
Chiloscyllium punctatum
Chimaera fulva
Chimaera monstrosa
Chimaera opalescens
Chimaera sp.
Chirocentrus dorab
Chirocentrus nudus
Chlamydoselachus anguineus
Chlorophthalmus agassizi
Chlorophthalmus nigromarginatus
Chlorurus sordidus
Choerodon schoenleinii
Chromis notata
Chromis viridis
Chrysiptera biocellata
Chrysochir aureus
Cirrhigaleus australis
Cirrhilabrus exquisitus
Cirrhitichthys aprinus
Citharoides macrolepidotus
Cleisthenes herzensteini
Clidoderma asperrimum
Clinocottus analis
Clupanodon thrissa
Clupea harengus
Clupea pallasii
Clupeichthys aesarnensis
Clupeichthys goniognathus
Clupeichthys perakensis
Clupeoides borneensis
Clupeoides sp.
Clupeonella cultriventris
Coccorella atlantica
Cociella crocodila
Cociella crocodilus
Coelophrys brevicaudata
Coelorinchus kishinouyei
Coilia brachygnathus
Coilia grayii
Coilia lindmani
Coilia mystus
Coilia nasus
Coilia reynaldi
Colistium nudipinnis
Collichthys lucidus
Collichthys niveatus
Coloconger cadenati
Cololabis saira
Colomesus asellus
Colomesus psittacus
Comephorus baicalensis
Comephorus baikalensis
Comephorus dybowskii
Conger erebennus
Conger japonicus
Conger myriaster
Conocara kreffti
Conocara macropterum
Conocara murrayi
Conocara nigrum
Conocara sp.
Coryphaena equiselis
Coryphaena hippurus
Corythoichthys flavofasciatus
Cosmocampus elucens
Cottiusculus nihonkaiensis
Cottocomephorus grewingki
Cottocomephorus inermis
Cottunculus microps
Cottus aleuticus
Cottus amblystomopsis
Cottus asper
Cottus bairdii
Cottus beldingii
Cottus bendirei
Cottus cognatus
Cottus confusus
Cottus czerskii
Cottus dzungaricus
Cottus gulosus
Cottus hangiongensis
Cottus klamathensis
Cottus koreanus
Cottus marginatus
Cottus perifretum
Cottus perplexus
Cottus pitensis
Cottus poecilopus
Cottus princeps
Cottus reinii
Cottus rhenanus
Cottus rhotheus
Cottus szanaga
Cottus tenuis
Cottus volki
Craterocephalus eyresii
Craterocephalus stramineus
Crenimugil crenilabis
Cromileptes altivelis
Crossorhombus azureus
Crossorhombus kobensis
Crossorhombus valderostratus
Cryptocentrus cinctus
Cryptopsaras couesii
Crystallias matsushimae
Crystallogobius linearis
Ctenochaetus striatus
Ctenochaetus tominiensis
Ctenolabrus rupestris
Ctenotrypauchen chinensis
Cubiceps pauciradiatus
Cubiceps squamiceps
Cyema atrum
Cylix sp.
Cynoglossus abbreviatus
Cynoglossus bilineatus
Cynoglossus gracilis
Cynoglossus interruptus
Cynoglossus itinus
Cynoglossus joyneri
Cynoglossus nanhaiensis
Cynoglossus puncticeps
Cynoglossus robustus
Cynoglossus roulei
Cynoglossus semilaevis
Cynoglossus senegalensis
Cynoglossus sinicus
Cynoglossus trigrammus
Cynoglossus zanzibarensis
Cynoponticus ferox
Cypselurus hiraii
Dactyloptena orientalis
Dactyloptena peterseni
Dactyloptena tiltoni
Dactylopterus volitans
Danacetichthys galathenus
Dascyllus trimaculatus
Dasyatis akajei
Dasyatis bennetti
Dasyatis pastinaca
Dasyatis tortonesei
Dasyatis zugei
Dasycottus setiger
Decapterus macarellus
Decapterus macrosoma
Decapterus maruadsi
Decapterus russelli
Decapterus tabl
Dendrophysa russelii
Dentex angolensis
Dentex dentex
Dentex gibbosus
Dentex hypselosomus
Dentex tumifrons
Derichthys serpentinus
Dermogenys pusilla
Desmodema polystictum
Dexistes rikuzenius
Diagramma picta
Diaphus chrysorhynchus
Diaphus gigas
Diaphus luetkeni
Diaphus splendidus
Diaphus theta
Dibranchus sp.
Diceratias pileatus
Diodon holocanthus
Diodon hystrix
Diodon liturosus
Diogenichthys atlanticus
Diplacanthopoma brachysoma
Diplodus cervinus
Diplodus puntazzo
Diplodus sargus
Diploprion bifasciatum
Diplospinus multistriatus
Dipturus argentinensis
Dipturus batis
Dipturus chilensis
Dipturus innominatus
Dipturus intermedius
Dipturus kwangtungensis
Dipturus linteus
Dipturus maugeanus
Dipturus nasutus
Dipturus oxyrinchus
Dipturus trachyderma
Diretmoides veriginae
Diretmus argenteus
Doederleinia berycoides
Dolichopteryx minuscula
Dorosoma cepedianum
Dorosoma petenense
Doryichthys boaja
Doryrhamphus japonicus
Draconetta xenica
Drepane longimana
Drepane punctata
Dunckerocampus dactyliophorus
Dussumieria elopsoides
Dysalotus alcocki
Dysalotus oligoscolus
Dysomma anguillare
Echeneis naucrates
Ecsenius bicolor
Ehirava fluviatilis
Elagatis bipinnulata
Elagatis bipinnulatus
Electrona antarctica
Electrona carlsbergi
Eleotris acanthopoma
Eleotris amblyopsis
Eleotris fusca
Eleotris klunzingerii
Eleotris oxycephala
Eleotris picta
Eleutheronema rhadinum
Eleutheronema tetradactylum
Elops hawaiensis
Elops saurus
Emmelichthys struhsakeri
Enchelycore pardalis
Enchelynassa canina
Engraulis encrasicolus
Engraulis japonicus
Engraulis mordax
Engraulis ringens
Enneanectes altivelis
Enneapterygius etheostomus
Enophrys bison
Enophrys diceraus
Enoplosus armatus
Eopsetta grigorjewi
Eopsetta jordani
Ephippus orbis
Epigonus denticulatus
Epinephelus aeneus
Epinephelus akaara
Epinephelus amblycephalus
Epinephelus areolatus
Epinephelus awoara
Epinephelus bilobatus
Epinephelus bleekeri
Epinephelus bontoides
Epinephelus bruneus
Epinephelus chlorostigma
Epinephelus coioides
Epinephelus corallicola
Epinephelus cyanopodus
Epinephelus epistictus
Epinephelus fasciatomaculosus
Epinephelus flavocaeruleus
Epinephelus fuscoguttatus
Epinephelus hexagonatus
Epinephelus lanceolatus
Epinephelus latifasciatus
Epinephelus maculatus
Epinephelus malabaricus
Epinephelus merra
Epinephelus moara
Epinephelus multinotatus
Epinephelus quoyanus
Epinephelus septemfasciatus
Epinephelus sexfasciatus
Epinephelus stictus
Epinephelus tauvina
Epinephelus trimaculatus
Epinephelus tukula
Epinephelus undulosus
Epinnula magistralis
Eptatretus burgeri
Eptatretus sp.
Escualosa thoracata
Ethmalosa fimbriata
Ethmidium maculatum
Etmopterus molleri
Etmopterus pusillus
Etmopterus spinax
Etrumeus micropus
Etrumeus teres
Eubalichthys mosaicus
Eucyclogobius newberryi
Eugnathogobius oligactis
Eugnathogobius polylepis
Eugnathogobius variegatus
Eumecichthys fiski
Eumegistus illustris
Eurypegasus draconis
Eusphyra blochii
Eutaeniophorus festivus
Eutaeniophorus sp.
Euthynnus affinis
Euthynnus alletteratus
Eutrigla gurnardus
Evermannella indica
Evoxymetopon poeyi
Evynnis tumifrons
Exocoetus volitans
Exyrias puntang
Facciolella oxyrhyncha
Favonigobius gymnauchen
Favonigobius reichei
Fistularia commersonii
Fistularia petimba
Foetorepus altivelis
Forcipiger flavissimus
Gadopsis bispinosus
Gadopsis marmoratus
Galaxias gollumoides
Galaxias maculatus
Galaxias platei
Galaxias sp.
Galaxias truttaceus
Galaxiella nigrostriata
Galeocerdo cuvier
Galeus melastomus
Gasterochisma melampus
Gazza minuta
Gempylus serpens
Genicanthus bellus
Genicanthus lamarck
Genicanthus melanospilos
Genicanthus semifasciatus
Geotria australis
Gerres decacanthus
Gerres erythrourus
Gerres filamentosus
Gerres oyena
Gigantactis vanhoeffeni
Gigantura chuni
Gigantura indica
Gilchristella aestuaria
Gillichthys mirabilis
Gillichthys seta
Ginglymostoma cirratum
Girella melanichthys
Girella punctata
Glaucostegus granulatus
Glossanodon semifasciatus
Glossogobius aureus
Glossogobius circumspectus
Glossogobius giuris
Glossogobius olivaceus
Glossolepis incisus
Glyphis fowlerae
Glyphis gangeticus
Glyphis garricki
Glyphis glyphis
Glyphis siamensis
Glyphis sp.
Glyptocephalus stelleri
Gnathanodon speciosus
Gnathodentex aureolineatus
Gobiomorus maculatus
Gobiopterus lacustris
Gobiusculus flavescens
Gonorynchus abbreviatus
Gonorynchus greyi
Grammatobothus polyophthalmus
Grammatorcynus bilineatus
Grammistes sexlineatus
Gudusia chapra
Guentherus altivela
Gymnammodytes semisquamatus
Gymnocanthus herzensteini
Gymnocanthus intermedius
Gymnocanthus tricuspis
Gymnogobius laevis
Gymnogobius petschiliensis
Gymnogobius urotaenia
Gymnomuraena zebra
Gymnosarda unicolor
Gymnoscopelus nicholsi
Gymnothorax chilospilus
Gymnothorax emmae
Gymnothorax eurostus
Gymnothorax favagineus
Gymnothorax fimbriatus
Gymnothorax flavimarginatus
Gymnothorax formosus
Gymnothorax javanicus
Gymnothorax kidako
Gymnothorax meleagris
Gymnothorax minor
Gymnothorax mucifer
Gymnothorax niphostigmus
Gymnothorax pseudothyrsoideus
Gymnothorax punctatofasciatus
Gymnothorax reevesii
Gymnothorax reticularis
Gymnothorax rueppellii
Gymnothorax undulatus
Gymnura altavela
Gymnura poecilura
Gyrinomimus myersi
Gyrinomimus sp.
Halaelurus buergeri
Halicampus grayi
Halichoeres hartzfeldii
Halichoeres melanurus
Halichoeres nigrescens
Halichoeres tenuispinis
Halichoeres trimaculatus
Halieutaea stellata
Halosauropsis macrochir
Halosaurus ovenii
Haplophryne mollis
Harengula jaguana
Harpadon microchir
Harpadon nehereus
Harriotta raleighana
Helicolenus avius
Helicolenus hilgendorfi
Hemieleotris latifasciata
Hemigaleus microstoma
Hemigobius hoevenii
Hemigymnus melapterus
Hemilepidotus gilberti
Hemipristis elongata
Hemiscyllium ocellatum
Hemitriakis japanica
Heniochus acuminatus
Heniochus chrysostomus
Heniochus diphreutes
Hephaestus fuliginosus
Heptranchias perlo
Herwigia kreffti
Heteroconger hassi
Heterodontus francisci
Heterodontus zebra
Heteromycteris japonicus
Heteropriacanthus cruentatus
Heterotis niloticus
Hexanchus griseus
Hexanchus nakamurai
Himantolophus albinares
Himantolophus groenlandicus
Himantura gerrardi
Himantura granulata
Himantura hortlei
Himantura jenkinsii
Himantura microphthalma
Himantura uarnak
Hippocampus abdominalis
Hippocampus algiricus
Hippocampus barbouri
Hippocampus bargibanti
Hippocampus camelopardalis
Hippocampus capensis
Hippocampus comes
Hippocampus erectus
Hippocampus hippocampus
Hippocampus histrix
Hippocampus ingens
Hippocampus jayakari
Hippocampus kelloggi
Hippocampus kuda
Hippocampus mohnikei
Hippocampus nalu
Hippocampus queenslandicus
Hippocampus reidi
Hippocampus sindonis
Hippocampus spinosissimus
Hippocampus subelongatus
Hippocampus trimaculatus
Hippocampus zosterae
Hippoglossoides dubius
Hippoglossoides platessoides
Hippoglossus hippoglossus
Hippoglossus stenolepis
Hirundichthys rondeletii
Histiopterus typus
Histrio histrio
Holacanthus africanus
